GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pay4Park,com.bjbloemker.exceptions,InvalidEmailException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,InvalidPriceException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullNameException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullAddressException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullWebException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullEmailException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullGeoException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,InvalidVehicleTypeException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullChargeInfoException,4,0,0,0,2,0,1,0,1,0
Pay4Park,com.bjbloemker.exceptions,NullVehicleException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullPhoneException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,NullCardException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.exceptions,InvalidCardException,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,Visitor,0,6,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,LocationInfo,0,18,0,0,0,4,0,2,0,2
Pay4Park,com.bjbloemker.core,Report,0,5,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,MemoryManager,3,78,0,6,1,18,1,6,1,3
Pay4Park,com.bjbloemker.core,Vehicle,0,6,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,Error,0,12,0,0,0,4,0,2,0,2
Pay4Park,com.bjbloemker.core,PaymentInfo,0,25,0,0,0,4,0,2,0,2
Pay4Park,com.bjbloemker.core,GeoCords,0,10,0,0,0,4,0,2,0,2
Pay4Park,com.bjbloemker.core,Order,0,6,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,Park,0,5,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,Note,0,7,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker.core,ChargeInfo,0,12,0,0,0,4,0,2,0,2
Pay4Park,com.bjbloemker.core,PaymentProcessing,0,4,0,0,0,2,0,1,0,1
Pay4Park,com.bjbloemker,Pay4ParkApplication,43,0,0,0,11,0,4,0,4,0
Pay4Park,com.bjbloemker,Pay4ParkConfiguration,3,0,0,0,1,0,1,0,1,0
Pay4Park,com.bjbloemker.resources,ReportResource,22,594,13,79,6,118,13,41,0,8
Pay4Park,com.bjbloemker.resources,ParkResource,70,694,6,36,16,155,6,25,0,10
Pay4Park,com.bjbloemker.resources,JsonParser,21,440,4,38,7,103,5,23,1,6
Pay4Park,com.bjbloemker.resources,NotesResource,0,183,3,23,0,42,3,14,0,4
Pay4Park,com.bjbloemker.resources,OrderResource,0,554,2,30,0,129,2,19,0,5
Pay4Park,com.bjbloemker.resources,GeneralServices,25,556,2,54,10,135,3,43,1,17
Pay4Park,com.bjbloemker.resources,VisitorsResource,0,196,7,15,0,45,7,8,0,4
Pay4Park,com.bjbloemker.api,ReportObj,0,15,0,0,0,6,0,3,0,3
Pay4Park,com.bjbloemker.api,ParkObj,0,27,0,0,0,10,0,5,0,5
Pay4Park,com.bjbloemker.api,ErrorObj,0,18,0,0,0,7,0,1,0,1
Pay4Park,com.bjbloemker.api,VisitorObj,0,28,0,0,0,10,0,5,0,5
Pay4Park,com.bjbloemker.api,PaymentInfoObj,0,27,0,0,0,10,0,5,0,5
Pay4Park,com.bjbloemker.api,ChargeInfoObj,0,33,0,0,0,14,0,7,0,7
Pay4Park,com.bjbloemker.api,VehicleObj,0,21,0,0,0,8,0,4,0,4
Pay4Park,com.bjbloemker.api,LocationInfoObj,0,63,0,0,0,26,0,13,0,13
Pay4Park,com.bjbloemker.api,PaymentProcessingObj,0,22,0,0,0,6,0,3,0,3
Pay4Park,com.bjbloemker.api,OrderObj,0,50,0,0,0,14,0,7,0,7
Pay4Park,com.bjbloemker.api,NoteObj,8,47,0,0,4,14,2,7,2,7
Pay4Park,com.bjbloemker.api,GeoCordsObj,0,23,0,0,0,10,0,5,0,5
